datetime,date,hour,wind_speed_ms,wind_direction_deg,wind_vx,wind_vy
2025-10-11 00:00:00,2025-10-11,0,1.86,313.0,-1.3603178850116568,1.2685169497162474
2025-10-11 01:00:00,2025-10-11,1,2.04,308.2,-1.6031480620778198,1.2615531265294107
2025-10-11 02:00:00,2025-10-11,2,2.2,306.5,-1.7684850933578782,1.3086101308529512
2025-10-11 03:00:00,2025-10-11,3,2.25,308.5,-1.7608683529179316,1.4006579324346435
2025-10-11 04:00:00,2025-10-11,4,2.22,312.6,-1.6341355334058094,1.5026646526955079
2025-10-11 05:00:00,2025-10-11,5,2.15,316.5,-1.4799623377415712,1.5595548976764182
2025-10-11 06:00:00,2025-10-11,6,2.05,320.3,-1.3094740259069748,1.577269087846135
2025-10-11 07:00:00,2025-10-11,7,2.83,325.1,-1.6191728218508101,2.3210298087227756
2025-10-11 08:00:00,2025-10-11,8,3.08,338.1,-1.1488023703334902,2.857735662008674
2025-10-11 09:00:00,2025-10-11,9,3.1,345.8,-0.7604528962242878,3.0052805846749306
2025-10-11 10:00:00,2025-10-11,10,2.58,352.9,-0.3188918099904725,2.560216399744561
2025-10-11 11:00:00,2025-10-11,11,2.24,0.0,0.0,2.24
2025-10-11 12:00:00,2025-10-11,12,2.08,2.5,0.09072832571989889,2.0780203008902642
2025-10-11 13:00:00,2025-10-11,13,2.0,0.9,0.03141463462364135,1.9997532649633212
2025-10-11 14:00:00,2025-10-11,14,1.9,357.9,-0.06962304654245811,1.8987239481794467
2025-10-11 15:00:00,2025-10-11,15,1.96,353.9,-0.2082775798190185,1.9489023705010808
2025-10-11 16:00:00,2025-10-11,16,1.99,350.4,-0.33186980596504445,1.9621321137703047
2025-10-11 17:00:00,2025-10-11,17,1.85,345.9,-0.4506877718041433,1.7942632282767812
2025-10-11 18:00:00,2025-10-11,18,1.7,340.7,-0.56187446761248,1.6044616176914896
2025-10-11 19:00:00,2025-10-11,19,1.88,335.5,-0.7796232961937298,1.710727189247901
2025-10-11 20:00:00,2025-10-11,20,2.01,330.5,-0.9897713558079692,1.749414948839198
2025-10-11 21:00:00,2025-10-11,21,2.09,324.9,-1.2017609767704527,1.7099329094182987
2025-10-11 22:00:00,2025-10-11,22,2.17,320.1,-1.3919457005050717,1.6647483794392006
2025-10-11 23:00:00,2025-10-11,23,2.22,317.4,-1.5026646526955072,1.63413553340581
2025-10-12 00:00:00,2025-10-12,0,2.25,316.1,-1.5601541136205788,1.6212400012807442
2025-10-12 01:00:00,2025-10-12,1,2.26,315.4,-1.586865899769068,1.609178863939651
2025-10-12 02:00:00,2025-10-12,2,2.38,315.2,-1.677029419713356,1.688778352956919
2025-10-12 03:00:00,2025-10-12,3,2.4,314.0,-1.7264155208127625,1.6671800891015933
2025-10-12 04:00:00,2025-10-12,4,2.38,312.3,-1.760322006049091,1.6017697821532604
2025-10-12 05:00:00,2025-10-12,5,2.3,311.0,-1.735832034512376,1.5089357666781662
2025-10-12 06:00:00,2025-10-12,6,2.34,309.6,-1.8030009880953461,1.4915721360119345
2025-10-12 07:00:00,2025-10-12,7,3.21,308.9,-2.4981605067685284,2.015761415054373
2025-10-12 08:00:00,2025-10-12,8,3.15,309.9,-2.416570228218195,2.020566339442845
2025-10-12 09:00:00,2025-10-12,9,2.9,311.8,-2.161880399080301,1.9329441637234115
2025-10-12 10:00:00,2025-10-12,10,2.32,311.0,-1.7509262261168315,1.5220569472579764
2025-10-12 11:00:00,2025-10-12,11,1.89,307.5,-1.4994378131504345,1.1505591008264817
2025-10-12 12:00:00,2025-10-12,12,1.8,307.8,-1.4222790222762423,1.1032326965753585
2025-10-12 13:00:00,2025-10-12,13,1.85,310.0,-1.4171822197701096,1.1891570779200977
2025-10-12 14:00:00,2025-10-12,14,2.0,312.4,-1.4769106812517676,1.3486047751674466
2025-10-12 15:00:00,2025-10-12,15,2.02,316.8,-1.3827851539759504,1.472516627391252
2025-10-12 16:00:00,2025-10-12,16,1.87,325.9,-1.048394919833263,1.5484728257440643
2025-10-12 17:00:00,2025-10-12,17,1.69,337.7,-0.6412809096040185,1.5636044240719718
2025-10-12 18:00:00,2025-10-12,18,1.59,348.1,-0.32786465478064075,1.5558292863118277
2025-10-12 19:00:00,2025-10-12,19,1.74,354.7,-0.1607248221570184,1.7325609748411728
2025-10-12 20:00:00,2025-10-12,20,1.71,358.3,-0.05072927738553969,1.7092473608041467
2025-10-12 21:00:00,2025-10-12,21,1.6,356.8,-0.08931440798906261,1.5975052226911697
2025-10-12 22:00:00,2025-10-12,22,1.47,351.4,-0.21981695486225397,1.4534718801390984
2025-10-12 23:00:00,2025-10-12,23,1.32,342.8,-0.39033462605814195,1.2609674380014937
2025-10-13 00:00:00,2025-10-13,0,1.21,332.0,-0.5680605909709279,1.0683665873593016
2025-10-13 01:00:00,2025-10-13,1,1.21,321.0,-0.7614776731703038,0.9403466133629343
2025-10-13 02:00:00,2025-10-13,2,1.29,314.4,-0.9216697567263168,0.902565709262241
2025-10-13 03:00:00,2025-10-13,3,1.37,311.7,-1.0228943097309864,0.9113655858764743
2025-10-13 04:00:00,2025-10-13,4,1.41,311.8,-1.0511211595528358,0.9398107830517277
2025-10-13 05:00:00,2025-10-13,5,1.44,313.3,-1.0479927710263832,0.9875784282154216
2025-10-13 06:00:00,2025-10-13,6,1.43,315.6,-1.0005185769341125,1.0216959318749088
